epoch,learning_rate,train_loss,train_accuracy,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,0.0001,1.000450552720982,0.5283018867924528,0.5142595505980806,1.2463228456846631,0.4083969465648855,0.34819496456648236
2,0.0001,0.5955735648318541,0.7634252539912917,0.758817666784586,1.521322228526341,0.42748091603053434,0.4070825993726055
3,0.0001,0.26644511579256097,0.910377358490566,0.9084136626391613,1.8494773930265704,0.44656488549618323,0.4080850014761428
4,0.0001,0.13230771868772187,0.9593613933236574,0.9595955047036213,2.2378271868210713,0.44274809160305345,0.4249144061963121
5,0.0001,0.10064510300252667,0.9658925979680697,0.9651381097361527,2.3002915546184277,0.4122137404580153,0.3844272861986228
6,0.0001,0.07988338721767392,0.9764150943396226,0.9760742862067296,2.265390468462733,0.41603053435114506,0.39302112029384756
7,0.0001,0.10504128608760709,0.9626269956458636,0.9620871027945119,2.451098776955641,0.3931297709923664,0.34730374566146266
8,3e-05,0.08165377101905547,0.9709724238026125,0.9699331202738054,2.634177298946235,0.4351145038167939,0.4107298907466432
9,3e-05,0.050390929400012524,0.9822206095791002,0.9821265144248609,2.438226777178641,0.42748091603053434,0.3968084928917242
10,3e-05,0.04593301031073482,0.9862119013062409,0.9860293447402292,2.515077831180951,0.42366412213740456,0.39151920697556947
